127.0.0.1 - - [16/Sep/2020:09:08:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:08:16 +0900] "GET /erp/WEB-INF/views/myInfo/applyHoliday.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:08:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:08:19 +0900] "GET /erp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:08:19 +0900] "GET /erp/ HTTP/1.1" 200 6471
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:08:20 +0900] "GET /erp/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:08:20 +0900] "GET /erp/lib/icomoon/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:08:20 +0900] "GET /erp/lib/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:08:21 +0900] "GET /erp/login HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:08:25 +0900] "POST /erp/access HTTP/1.1" 200 6622
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:38:07 +0900] "POST /erp/access HTTP/1.1" 200 6687
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:38:11 +0900] "GET /erp/ HTTP/1.1" 200 6687
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:38:11 +0900] "GET /erp/img/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:38:12 +0900] "GET /erp/ HTTP/1.1" 200 6687
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:38:13 +0900] "GET /erp/adminpage HTTP/1.1" 200 2530
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:38:16 +0900] "GET /erp/membermanager HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:39:10 +0900] "GET /erp/membermanager HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:39:19 +0900] "GET /erp/companymanager HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:39:20 +0900] "GET /erp/membermanager HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:39:47 +0900] "GET /erp/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:40:19 +0900] "GET /erp/membermanager HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:40:19 +0900] "GET /erp/rest/home/searchfromid?m_id= HTTP/1.1" 500 4473
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:40:19 +0900] "GET /erp/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:40:19 +0900] "GET /erp/img/favicon.png HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:40:21 +0900] "GET /erp/rest/home/searchfromid?m_id= HTTP/1.1" 500 4473
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:40:24 +0900] "GET /erp/rest/home/searchfromid?m_id= HTTP/1.1" 500 4473
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:40:34 +0900] "GET /erp/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:40:41 +0900] "GET /erp/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:40:45 +0900] "GET /erp/rest/home/searchfromid?m_id= HTTP/1.1" 500 4473
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:45:02 +0900] "GET /erp/membermanager HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:45:02 +0900] "GET /erp/lib/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:45:02 +0900] "GET /erp/img/favicon.png HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:45:03 +0900] "GET /erp/rest/home/searchfromid?m_id= HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:45:06 +0900] "GET /erp/rest/home/searchfromid?m_id= HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:45:09 +0900] "GET /erp/rest/home/searchfromid?m_id=y HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:45:09 +0900] "GET /erp/rest/home/searchfromid?m_id=y HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:24 +0900] "GET /erp/ HTTP/1.1" 200 6687
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:26 +0900] "GET /erp/main HTTP/1.1" 200 14288
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:26 +0900] "GET /erp/rest/myinfo/myinfo HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:26 +0900] "GET /erp/rest/myinfo/hrexistfromid HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:26 +0900] "GET /erp/upload/1598947322296.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:28 +0900] "GET /erp/hr/hr HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:29 +0900] "GET /erp/hr/movehrcardpage HTTP/1.1" 200 5205
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:29 +0900] "GET /erp/upload/1598947322296.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:29 +0900] "GET /erp/upload/1599135130321.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:29 +0900] "GET /erp/upload/1600156325060.png HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:29 +0900] "GET /erp/upload/1600148791698.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:30 +0900] "GET /erp/upload/1600148849262.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:30 +0900] "GET /erp/upload/1600148823085.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:30 +0900] "GET /erp/upload/1600148879651.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:30 +0900] "GET /erp/upload/1600148907716.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:30 +0900] "GET /erp/upload/1600148950515.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:30 +0900] "GET /erp/upload/1600148971613.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:30 +0900] "GET /erp/upload/1599837901782.PNG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [16/Sep/2020:09:59:54 +0900] "GET /erp/hr/deptregistpage HTTP/1.1" 200 4467
0:0:0:0:0:0:0:1 - - [16/Sep/2020:10:00:01 +0900] "GET /erp/hr/attendance HTTP/1.1" 200 7410
0:0:0:0:0:0:0:1 - - [16/Sep/2020:10:00:02 +0900] "GET /erp/rest/hr/employeeattendance?day=15&yearmonth=2020%EB%85%84%209%EC%9B%94 HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Sep/2020:10:00:04 +0900] "GET /erp/hr/receiptholiday HTTP/1.1" 200 7931
0:0:0:0:0:0:0:1 - - [16/Sep/2020:10:00:04 +0900] "GET /erp/rest/hr/employeeholiday?yearmonth=2020%EB%85%84%209%EC%9B%94 HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [16/Sep/2020:10:00:11 +0900] "GET /erp/rest/hr/employeeholiday?yearmonth=2020%EB%85%84%2010%EC%9B%94 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [16/Sep/2020:10:00:13 +0900] "GET /erp/rest/hr/employeeholiday?yearmonth=2020%EB%85%84%209%EC%9B%94 HTTP/1.1" 200 225
